id,name,type,start_date,distance_km,moving_time,moving_time_hms,avg_speed_kmh,kilojoules,map_summary_polyline,NM_UF,NM_MUN
17264997401,Afternoon Run,Run,2026-02-02 20:37:10,6.0092,2121,0:35:21,10.1988,658.8,zloKnpeaHkA@k@EyA]oDaAaAMG@EDKTW|@CXBLPP~C|At@b@j@Pl@Xv@NxDDbBIzAK`BC|Da@PEBGe@}CGKKC]Cw@DeCDoB?yEJe@?}@MmFsAgASIBO\YfA?LBDnEzBtAv@b@PZHz@FrC?fBEbBMrACbEc@JEBKg@{CEEKEYAoDHcKJ_AKiBi@_Du@e@GIBUf@U~@?HDJPP\TtFtCf@Rb@HrBDhCEdGYjCUXEDKBWCg@EUQg@Kq@GKKEyAF}CFyB?m@BoDBo@IcCq@k@Mc@EgAYc@GIBQd@Wz@ARJLj@Z|@X~DvB^Nd@HzDFfAIn@?dAIdBE`Ea@LCDKQaAU}ACGKEKAcCF_C@eEHqB@_AMaBa@,Pará,Mãe do Rio
17264997151,Afternoon Run,Run,2026-02-02 16:27:05,3.6092,2259,0:37:39,5.752800000000001,0.0,,,
17264997064,Lunch Weight Training,WeightTraining,2026-02-02 15:44:36,0.0,2419,0:40:19,0.0,0.0,,,
17264997060,Lunch Run,Run,2026-02-02 15:38:01,0.48710000000000003,309,0:05:09,5.6736,0.0,,,
17250953105,Afternoon Run,Run,2026-01-30 20:30:45,3.4254000000000002,2756,0:45:56,4.4748,0.0,,,
17250953447,Afternoon Run,Run,2026-01-29 18:14:24,0.047200000000000006,8,0:00:08,21.240000000000002,0.0,,,
17215294205,Morning Weight Training,WeightTraining,2026-01-29 10:28:13,0.0,2568,0:42:48,0.0,0.0,,,
17214542295,Morning Run,Run,2026-01-29 08:26:01,10.0238,3491,0:58:11,10.3356,1107.4,dmoKnpeaHsA?s@G{Cw@_Ds@IAIB_@v@y@`CsBvGQbAm@jBAN@DTJdBj@rAPpA\bJtCbFvA`A\lAv@`Cv@NLV\XNvCz@vBv@pA^h@RpErAbA^vGpBtHbCjBp@nNlEnC`AfBh@hBp@~Bt@d@JWInSxG`AT`B\|ATbCNl@@fE@~FFrE?fCDf@ArCDjEAdNJdC?bJFr@AvADlIDhB?pJFv@BnB?lHBxBDfC?fABbWJzWRX@HCbIHxd@ThJHfEAlHLnJ@xNJxB?dZTdGDzBD`E?fPNlAAh@@,Pará,Aurora do Pará
17211860888,Night Run,Run,2026-01-29 00:08:23,3.0096,1314,0:21:54,8.244,355.9,lloKhpeaHm@Bk@CeBe@i@EUEsBo@{@SKBKLQh@U~@DLVNdAh@bExBf@Rd@HzD@vESfAAjBQXG~@GNCDGg@aDEGOEm@AgBHe@CyCFuFD_@EcAYS@OCoDcAu@OG@EFQd@YdADJPNpB~@dDhBb@P^H|@B`C?fAGn@?XEb@?f@E|@AhEc@LCFE,Pará,Mãe do Rio
17204276454,Morning Weight Training,WeightTraining,2026-01-28 10:45:35,0.0,3371,0:56:11,0.0,0.0,,,
17203659405,Morning Run,Run,2026-01-28 10:39:06,0.44789999999999996,343,0:05:43,4.7016,0.0,,,
17203659588,Evening Walk,Walk,2026-01-27 21:10:24,4.0904,3093,0:51:33,4.759200000000001,0.0,dmoKlpeaHoA@q@E}GkBe@EK@GD_@pAI^@HLH~CzAlCzA\H`@Fj@DhC?pCOp@ApDSrBUJE@Ec@aDGIQGwOR_AAm@KcGcBo@EGFQd@[hABHTPnDdBbAl@z@`@v@Np@@vB@dDKpDS`D]DE@KMk@WsBMKQAgOPgA?aASkFyAk@GI@GD[~@Op@DHb@XnAp@xE~Bj@JhCBzDO,Pará,Mãe do Rio
17203659430,Morning Weight Training,WeightTraining,2026-01-27 10:05:43,0.0,3183,0:53:03,0.0,0.0,,,
17191477031,Morning Run,Run,2026-01-27 09:14:42,4.0184,1481,0:24:41,9.7668,433.0,rmoKnpeaH_B@e@CqAYqBk@}Bi@OAI@OLIPk@fBDDN?DCAEG?OHOXWn@}@~Cu@zBw@jCk@|@U|@cAzCuA|Ds@hBmBbGaBzEgCvHmAjDGVDLNNLF~C`AdA`@D@?JP?b@HtFdBtAh@dBh@hAX~Ah@jHtBP@FADEDKZiD^mB`AaDhAaDnCoH\iAtA{DxAeE`@cAHc@Pi@HIFQPy@fAaE,Pará,Mãe do Rio
